id,mesoregion_id,state_id,name
27003,2701,27,Santana do Ipanema
27004,2701,27,Batalha
27005,2702,27,Palmeira dos Índios
27006,2702,27,Arapiraca
27007,2702,27,Traipu
27008,2703,27,Serrana dos Quilombos
27009,2703,27,Mata Alagoana
27010,2703,27,Litoral Norte Alagoano
27011,2703,27,Maceió
27012,2703,27,São Miguel dos Campos
27013,2703,27,Penedo
28001,2801,28,Sergipana do Sertão do São Francisco
28002,2801,28,Carira
28003,2802,28,Nossa Senhora das Dores
28004,2802,28,Agreste de Itabaiana
28005,2802,28,Tobias Barreto
28006,2802,28,Agreste de Lagarto
28007,2803,28,Propriá
28008,2803,28,Cotinguiba
28009,2803,28,Japaratuba
28010,2803,28,Baixo Cotinguiba
28011,2803,28,Aracaju
28012,2803,28,Boquim
28013,2803,28,Estância
29001,2901,29,Barreiras
29002,2901,29,Cotegipe
29003,2901,29,Santa Maria da Vitória
29004,2902,29,Juazeiro
29005,2902,29,Paulo Afonso
29006,2902,29,Barra
29007,2902,29,Bom Jesus da Lapa
29008,2903,29,Senhor do Bonfim
29009,2903,29,Irecê
29010,2903,29,Jacobina
29011,2903,29,Itaberaba
29012,2903,29,Feira de Santana
29013,2904,29,Jeremoabo
29014,2904,29,Euclides da Cunha
29015,2904,29,Ribeira do Pombal
29016,2904,29,Serrinha
29017,2904,29,Alagoinhas
29018,2904,29,Entre Rios
29019,2905,29,Catu
29020,2905,29,Santo Antônio de Jesus
29021,2905,29,Salvador
29022,2906,29,Boquira
29023,2906,29,Seabra
29024,2906,29,Jequié
29025,2906,29,Livramento do Brumado
29026,2906,29,Guanambi
29027,2906,29,Brumado
29028,2906,29,Vitória da Conquista
29029,2906,29,Itapetinga
29030,2907,29,Valença
29031,2907,29,Ilhéus-Itabuna
29032,2907,29,Porto Seguro
31001,3101,31,Unaí
31002,3101,31,Paracatu
31003,3102,31,Januária
31004,3102,31,Janaúba
31005,3102,31,Salinas
31006,3102,31,Pirapora
31007,3102,31,Montes Claros
31008,3102,31,Grão Mogol
31009,3102,31,Bocaiúva
31010,3103,31,Diamantina
31011,3103,31,Capelinha
31012,3103,31,Araçuaí
31013,3103,31,Pedra Azul
31014,3103,31,Almenara
31015,3104,31,Teófilo Otoni
31016,3104,31,Nanuque
31017,3105,31,Ituiutaba
31018,3105,31,Uberlândia
31019,3105,31,Patrocínio
31020,3105,31,Patos de Minas
31021,3105,31,Frutal
31022,3105,31,Uberaba
31023,3105,31,Araxá
31024,3106,31,Três Marias
31025,3106,31,Curvelo
31026,3106,31,Bom Despacho
31027,3107,31,Sete Lagoas
31028,3107,31,Conceição do Mato Dentro
31029,3107,31,Pará de Minas
31030,3107,31,Belo Horizonte
31031,3107,31,Itabira
31032,3107,31,Itaguara
31033,3107,31,Ouro Preto
31034,3107,31,Conselheiro Lafaiete
31035,3108,31,Guanhães
31036,3108,31,Peçanha
31037,3108,31,Governador Valadares
31038,3108,31,Mantena
31039,3108,31,Ipatinga
31040,3108,31,Caratinga
31041,3108,31,Aimorés
31042,3109,31,Piuí
31043,3109,31,Divinópolis
31044,3109,31,Formiga
31045,3109,31,Campo Belo
31046,3109,31,Oliveira
31047,3110,31,Passos
31048,3110,31,São Sebastião do Paraíso
31049,3110,31,Alfenas
31050,3110,31,Varginha
31051,3110,31,Poços de Caldas
31052,3110,31,Pouso Alegre
31053,3110,31,Santa Rita do Sapucaí
31054,3110,31,São Lourenço
31055,3110,31,Andrelândia
31056,3110,31,Itajubá
31057,3111,31,Lavras
31058,3111,31,São João Del Rei
31059,3111,31,Barbacena
31060,3112,31,Ponte Nova
31061,3112,31,Manhuaçu
31062,3112,31,Viçosa
31063,3112,31,Muriaé
31064,3112,31,Ubá
31065,3112,31,Juiz de Fora
31066,3112,31,Cataguases
32001,3201,32,Barra de São Francisco
32002,3201,32,Nova Venécia
32003,3201,32,Colatina
32004,3202,32,Montanha
32005,3202,32,São Mateus
32006,3202,32,Linhares
32007,3203,32,Afonso Cláudio
32008,3203,32,Santa Teresa
32009,3203,32,Vitória
32010,3203,32,Guarapari
32011,3204,32,Alegre
32012,3204,32,Cachoeiro de Itapemirim
32013,3204,32,Itapemirim
33001,3301,33,Itaperuna
33002,3301,33,Santo Antônio de Pádua
33003,3302,33,Campos dos Goytacazes
33004,3302,33,Macaé
33005,3303,33,Três Rios
33006,3303,33,Cantagalo-Cordeiro
33007,3303,33,Nova Friburgo
33008,3303,33,Santa Maria Madalena
33009,3304,33,Bacia de São João
33010,3304,33,Lagos
33011,3305,33,Vale do Paraíba Fluminense
33012,3305,33,Barra do Piraí
33013,3305,33,Baía da Ilha Grande
33014,3306,33,Vassouras
33015,3306,33,Serrana
33016,3306,33,Macacu-Caceribu
33017,3306,33,Itaguaí
33018,3306,33,Rio de Janeiro
35001,3501,35,Jales
35002,3501,35,Fernandópolis
35003,3501,35,Votuporanga
35004,3501,35,São José do Rio Preto
35005,3501,35,Catanduva
35006,3501,35,Auriflama
35007,3501,35,Nhandeara
35008,3501,35,Novo Horizonte
35009,3502,35,Barretos
35010,3502,35,São Joaquim da Barra
35011,3502,35,Ituverava
35012,3502,35,Franca
35013,3502,35,Jaboticabal
35014,3502,35,Ribeirão Preto
35015,3502,35,Batatais
35016,3503,35,Andradina
35017,3503,35,Araçatuba
35018,3503,35,Birigui
35019,3504,35,Lins
35020,3504,35,Bauru
35021,3504,35,Jaú
35022,3504,35,Avaré
35023,3504,35,Botucatu
35024,3505,35,Araraquara
35025,3505,35,São Carlos
35026,3506,35,Rio Claro
35027,3506,35,Limeira
35028,3506,35,Piracicaba
35029,3507,35,Pirassununga
35030,3507,35,São João da Boa Vista
35031,3507,35,Mogi Mirim
35032,3507,35,Campinas
35033,3507,35,Amparo
35034,3508,35,Dracena
35035,3508,35,Adamantina
35036,3508,35,Presidente Prudente
35037,3509,35,Tupã
35038,3509,35,Marília
35039,3510,35,Assis
35040,3510,35,Ourinhos
35041,3511,35,Itapeva
35042,3511,35,Itapetininga
35043,3511,35,Tatuí
35044,3511,35,Capão Bonito
35045,3512,35,Piedade
35046,3512,35,Sorocaba
35047,3512,35,Jundiaí
35048,3512,35,Bragança Paulista
35049,3513,35,Campos do Jordão
35050,3513,35,São José dos Campos
35051,3513,35,Guaratinguetá
35052,3513,35,Bananal
35053,3513,35,Paraibuna/Paraitinga
35054,3513,35,Caraguatatuba
35055,3514,35,Registro
35056,3514,35,Itanhaém
35057,3515,35,Osasco
35058,3515,35,Franco da Rocha
35059,3515,35,Guarulhos
35060,3515,35,Itapecerica da Serra
35061,3515,35,São Paulo
35062,3515,35,Mogi das Cruzes
35063,3515,35,Santos
41001,4101,41,Paranavaí
41002,4101,41,Umuarama
41003,4101,41,Cianorte
41004,4102,41,Goioerê
41005,4102,41,Campo Mourão
41006,4103,41,Astorga
41007,4103,41,Porecatu
41008,4103,41,Floraí
41009,4103,41,Maringá
41010,4103,41,Apucarana
41011,4103,41,Londrina
41012,4103,41,Faxinal
41013,4103,41,Ivaiporã
41014,4104,41,Assaí
41015,4104,41,Cornélio Procópio
41016,4104,41,Jacarezinho
41017,4104,41,Ibaiti
41018,4104,41,Wenceslau Braz
41019,4105,41,Telêmaco Borba
41020,4105,41,Jaguariaíva
41021,4105,41,Ponta Grossa
41022,4106,41,Toledo
41023,4106,41,Cascavel
41024,4106,41,Foz do Iguaçu
41025,4107,41,Capanema
41026,4107,41,Francisco Beltrão
41027,4107,41,Pato Branco
41028,4108,41,Pitanga
41029,4108,41,Guarapuava
41030,4108,41,Palmas
41031,4109,41,Prudentópolis
41032,4109,41,Irati
41033,4109,41,União da Vitória
41034,4109,41,São Mateus do Sul
41035,4110,41,Cerro Azul
41036,4110,41,Lapa
41037,4110,41,Curitiba
41038,4110,41,Paranaguá
41039,4110,41,Rio Negro
42001,4201,42,São Miguel do Oeste
42002,4201,42,Chapecó
42003,4201,42,Xanxerê
42004,4201,42,Joaçaba
42005,4201,42,Concórdia
42006,4202,42,Canoinhas
42007,4202,42,São Bento do Sul
42008,4202,42,Joinville
42009,4203,42,Curitibanos
42010,4203,42,Campos de Lages
42011,4204,42,Rio do Sul
42012,4204,42,Blumenau
42013,4204,42,Itajaí
42014,4204,42,Ituporanga
42015,4205,42,Tijucas
42016,4205,42,Florianópolis
42017,4205,42,Tabuleiro
42018,4206,42,Tubarão
42019,4206,42,Criciúma
42020,4206,42,Araranguá
