id,district_id,municipality_id,microregion_id,mesoregion_id,state_id,name
31186010515,311860105,3118601,31030,3107,31,São Joaquim
31186010516,311860105,3118601,31030,3107,31,Confisco
31186010517,311860105,3118601,31030,3107,31,Ceasa
31186010518,311860105,3118601,31030,3107,31,Boa Vista
31186010519,311860105,3118601,31030,3107,31,Tapera
31186010520,311860105,3118601,31030,3107,31,Estrela D'alva
31186010521,311860105,3118601,31030,3107,31,Nacional
31186010522,311860105,3118601,31030,3107,31,Bom Jesus
31186010523,311860105,3118601,31030,3107,31,Sede
31186010524,311860105,3118601,31030,3107,31,VM5
31186010525,311860105,3118601,31030,3107,31,Bernardo Monteiro
31186010526,311860105,3118601,31030,3107,31,Petrolândia
31186010527,311860105,3118601,31030,3107,31,Nova Contagem
31186010528,311860105,3118601,31030,3107,31,Vargem das Flores
31186011001,311860110,3118601,31030,3107,31,Cidade Industrial
31186011002,311860110,3118601,31030,3107,31,Jardim Industrial
31186011003,311860110,3118601,31030,3107,31,Industrial
31186011004,311860110,3118601,31030,3107,31,Inconfidentes
31186011005,311860110,3118601,31030,3107,31,Amazonas
31186011006,311860110,3118601,31030,3107,31,Bandeirantes
31186011007,311860110,3118601,31030,3107,31,Riacho
31186011008,311860110,3118601,31030,3107,31,Jardim Riacho
31186011009,311860110,3118601,31030,3107,31,Eldorado
31186011011,311860110,3118601,31030,3107,31,Água Branca
31189080501,311890805,3118908,31027,3107,31,Região Administrativa 1
31189080502,311890805,3118908,31027,3107,31,Região Administrativa 2
31189080503,311890805,3118908,31027,3107,31,Região Administrativa 3
31189080504,311890805,3118908,31027,3107,31,Região Administrativa 4
31189080505,311890805,3118908,31027,3107,31,Região Administrativa 5
31189080506,311890805,3118908,31027,3107,31,Região Administrativa 6
31189080507,311890805,3118908,31027,3107,31,Região Administrativa 7
31189080508,311890805,3118908,31027,3107,31,Região Administrativa 8
31211000506,312110005,3121100,31056,3110,31,Barra
31324040506,313240405,3132404,31056,3110,31,1 Subdistrito
31324040507,313240405,3132404,31056,3110,31,Piedade
31367020506,313670205,3136702,31065,3112,31,Unidade Territorial I
31367020507,313670205,3136702,31065,3112,31,Unidade Territorial II
31367020508,313670205,3136702,31065,3112,31,Unidade Territorial III
31367020509,313670205,3136702,31065,3112,31,Unidade Territorial IV
31367020511,313670205,3136702,31065,3112,31,Unidade Territorial V
31367020512,313670205,3136702,31065,3112,31,Unidade Territorial VI
31367020513,313670205,3136702,31065,3112,31,Unidade Territorial VII
31367020514,313670205,3136702,31065,3112,31,Unidade Territorial VIII
31367020516,313670205,3136702,31065,3112,31,Unidade Territorial IX
31367020517,313670205,3136702,31065,3112,31,Unidade Territorial X
31367020518,313670205,3136702,31065,3112,31,Unidade Territorial XI
31367020519,313670205,3136702,31065,3112,31,Unidade Territorial XII
31367020521,313670205,3136702,31065,3112,31,Unidade Territorial XIII
31367020522,313670205,3136702,31065,3112,31,Unidade Territorial XIV
31367020523,313670205,3136702,31065,3112,31,Unidade Territorial XV
31367020524,313670205,3136702,31065,3112,31,Unidade Territorial XVI
31521050506,315210505,3152105,31060,3112,31,1 Subdistrito
31521050507,315210505,3152105,31060,3112,31,2 Sub-Distrito
31525010501,315250105,3152501,31052,3110,31,Quadrante Central
31525010502,315250105,3152501,31052,3110,31,Quadrante Nordeste
31525010503,315250105,3152501,31052,3110,31,Quadrante Centro-Sul
31525010504,315250105,3152501,31052,3110,31,Quadrante Sudeste
31525010505,315250105,3152501,31052,3110,31,Quadrante Sudoeste
31525010506,315250105,3152501,31052,3110,31,Quadrante Noroeste
31525010507,315250105,3152501,31052,3110,31,Quadrante Industrial
31672020501,316720205,3167202,31027,3107,31,I Região Administrativa
31672020502,316720205,3167202,31027,3107,31,II Região Administrativa
31672020503,316720205,3167202,31027,3107,31,III Região Administrativa
31672020504,316720205,3167202,31027,3107,31,IV Região Administrativa
31672020505,316720205,3167202,31027,3107,31,V Região Administrativa
31672020506,316720205,3167202,31027,3107,31,VI Região Administrativa
31672020507,316720205,3167202,31027,3107,31,VII Região Administrativa
31672020508,316720205,3167202,31027,3107,31,VIII Região Administrativa
31672020509,316720205,3167202,31027,3107,31,IX Região Administrativa
31672020510,316720205,3167202,31027,3107,31,X Região Administrativa
31672020511,316720205,3167202,31027,3107,31,XI Região Administrativa
31672020512,316720205,3167202,31027,3107,31,XII Região Administrativa
31672020513,316720205,3167202,31027,3107,31,XIII Região Administrativa
31672020514,316720205,3167202,31027,3107,31,XIV Região Administrativa
31672020515,316720205,3167202,31027,3107,31,XV Região Administrativa
31672020516,316720205,3167202,31027,3107,31,XVI Região Administrativa
31672020517,316720205,3167202,31027,3107,31,XVII Região Administrativa
31701070501,317010705,3170107,31022,3105,31,Dea Maria
31701070502,317010705,3170107,31022,3105,31,Distrito Industrial II
31701070503,317010705,3170107,31022,3105,31,Bougainville
31701070504,317010705,3170107,31022,3105,31,Parque Empresarial
31701070505,317010705,3170107,31022,3105,31,Parque Tecnologico
31701070506,317010705,3170107,31022,3105,31,Fabricio
31701070507,317010705,3170107,31022,3105,31,Boa Vista
31701070508,317010705,3170107,31022,3105,31,Lageado
31701070509,317010705,3170107,31022,3105,31,Amoroso Costa
31701070510,317010705,3170107,31022,3105,31,Portal
31701070511,317010705,3170107,31022,3105,31,Alfredo Freire
31701070512,317010705,3170107,31022,3105,31,Distrito Industrial I
31701070513,317010705,3170107,31022,3105,31,Grande Horizonte
31701070514,317010705,3170107,31022,3105,31,Mercês
31701070515,317010705,3170107,31022,3105,31,Centro
31701070516,317010705,3170107,31022,3105,31,Boa Esperança
31701070517,317010705,3170107,31022,3105,31,Estados Unidos
31701070518,317010705,3170107,31022,3105,31,Paraíso
31701070519,317010705,3170107,31022,3105,31,Morumbi
31701070520,317010705,3170107,31022,3105,31,Aeroporto
31701070521,317010705,3170107,31022,3105,31,Santa Maria
31701070522,317010705,3170107,31022,3105,31,São Benedito
31701070523,317010705,3170107,31022,3105,31,Abadia
31701070524,317010705,3170107,31022,3105,31,Leblon
31701070525,317010705,3170107,31022,3105,31,Costa Teles
31701070526,317010705,3170107,31022,3105,31,Lourdes
31701070527,317010705,3170107,31022,3105,31,Jochey Park
31701070528,317010705,3170107,31022,3105,31,Parque das Américas
31701070529,317010705,3170107,31022,3105,31,São Cristóvão
31701070530,317010705,3170107,31022,3105,31,Vallim
31701070531,317010705,3170107,31022,3105,31,Santa Clara
31701070532,317010705,3170107,31022,3105,31,2000
31701070533,317010705,3170107,31022,3105,31,São Geraldo
31701070534,317010705,3170107,31022,3105,31,Recreio dos Bandeirantes
31701070535,317010705,3170107,31022,3105,31,Maracanã
31701070536,317010705,3170107,31022,3105,31,Vila Real
32050020511,320500205,3205002,32009,3203,32,Região do Civit
32050020512,320500205,3205002,32009,3203,32,Região de Serra Sede
32050021012,320500210,3205002,32009,3203,32,Região de Serra Sede
32050021507,320500215,3205002,32009,3203,32,Região de Jacaraípe e Manguinhos
32050021508,320500215,3205002,32009,3203,32,Região de Carapina
32050021509,320500215,3205002,32009,3203,32,Região de Anchieta
32050021510,320500215,3205002,32009,3203,32,Região de Laranjeiras
32050021511,320500215,3205002,32009,3203,32,Região do Civit
32050022006,320500220,3205002,32009,3203,32,Região de Nova Almeida
32050022007,320500220,3205002,32009,3203,32,Região de Jacaraípe e Manguinhos
32052000506,320520005,3205200,32009,3203,32,Centro
32052000507,320520005,3205200,32009,3203,32,Grande Aribiri
32052000509,320520005,3205200,32009,3203,32,Grande Ibes
32052001007,320520010,3205200,32009,3203,32,Grande Aribiri
32052001008,320520010,3205200,32009,3203,32,Grande Cobilândia
32052001507,320520015,3205200,32009,3203,32,Grande Aribiri
32052001508,320520015,3205200,32009,3203,32,Grande Cobilândia
32052001509,320520015,3205200,32009,3203,32,Grande Ibes
32052002010,320520020,3205200,32009,3203,32,Grande Jucu
32052002507,320520025,3205200,32009,3203,32,Grande Aribiri
32052002508,320520025,3205200,32009,3203,32,Grande Cobilândia
32053090506,320530905,3205309,32009,3203,32,Região Administrativa I - Centro
32053090507,320530905,3205309,32009,3203,32,Região Administrativa II - Santo Antônio
32053090508,320530905,3205309,32009,3203,32,Região Administrativa III - Bento Ferreira/Jucutuquara
32053090509,320530905,3205309,32009,3203,32,Região Administrativa IV - Maruípe
32053090510,320530905,3205309,32009,3203,32,Região Administrativa V - Praia do Canto
32053090512,320530905,3205309,32009,3203,32,Região Administrativa VII - São Pedro
32053091011,320530910,3205309,32009,3203,32,Região Administrativa VI - Continente
33004070501,330040705,3300407,33011,3305,33,Região Administrativa I
33004070502,330040705,3300407,33011,3305,33,Região Administrativa II
33004070503,330040705,3300407,33011,3305,33,Região Administrativa III
33004070504,330040705,3300407,33011,3305,33,Região Administrativa IV
33004070505,330040705,3300407,33011,3305,33,Região Administrativa V
33004070506,330040705,3300407,33011,3305,33,Região Administrativa VI
33004070507,330040705,3300407,33011,3305,33,Região Administrativa VII
33004070508,330040705,3300407,33011,3305,33,Região Administrativa VIII
