id,id_municipio,id_microrregiao,id_mesorregiao,id_estado,nome
130010205,1300102,13006,1303,13,Anori
130014405,1300144,13013,1304,13,Apuí
130020105,1300201,13003,1302,13,Atalaia do Norte
130030005,1300300,13007,1303,13,Autazes
130030010,1300300,13007,1303,13,Murutinga
130040905,1300409,13001,1301,13,Barcelos
130050805,1300508,13010,1303,13,Barreirinha
130050810,1300508,13010,1303,13,Ariaú
130050812,1300508,13010,1303,13,Cametá
130050815,1300508,13010,1303,13,Freguesia do Andirá
130050820,1300508,13010,1303,13,Pedras
130060705,1300607,13003,1302,13,Benjamin Constant
130063105,1300631,13006,1303,13,Beruri
130068005,1300680,13010,1303,13,Boa Vista do Ramos
130068010,1300680,13010,1303,13,Lago Preto
130068015,1300680,13010,1303,13,Massauari
130070605,1300706,13011,1304,13,Boca do Acre
130070610,1300706,13011,1304,13,Floriano Peixoto
130080505,1300805,13013,1304,13,Borba
130083905,1300839,13006,1303,13,Caapiranga
130090405,1300904,13012,1304,13,Canutama
130100105,1301001,13004,1302,13,Carauari
130110005,1301100,13007,1303,13,Careiro
130115905,1301159,13007,1303,13,Careiro da Várzea
130120905,1301209,13006,1303,13,Coari
130130805,1301308,13006,1303,13,Codajás
130130810,1301308,13006,1303,13,Badajos
130140705,1301407,13004,1302,13,Eirunepé
130150605,1301506,13004,1302,13,Envira
130160505,1301605,13003,1302,13,Fonte Boa
130165405,1301654,13004,1302,13,Guajará
130170405,1301704,13013,1304,13,Humaitá
130180305,1301803,13004,1302,13,Ipixuna
130185205,1301852,13007,1303,13,Iranduba
130185210,1301852,13007,1303,13,Ariaú
130185215,1301852,13007,1303,13,Cacau Pirêra
130185220,1301852,13007,1303,13,Lago do Limão
130185225,1301852,13007,1303,13,Paricatuba
130190205,1301902,13009,1303,13,Itacoatiara
130190210,1301902,13009,1303,13,Amatari
130195105,1301951,13004,1302,13,Itamarati
130200905,1302009,13009,1303,13,Itapiranga
130210805,1302108,13002,1301,13,Japurá
130220705,1302207,13004,1302,13,Juruá
130230605,1302306,13003,1302,13,Jutaí
130240505,1302405,13012,1304,13,Lábrea
130250405,1302504,13007,1303,13,Manacapuru
130255305,1302553,13007,1303,13,Manaquiri
130260305,1302603,13007,1303,13,Manaus
130270205,1302702,13013,1304,13,Manicoré
130280105,1302801,13002,1301,13,Maraã
130290005,1302900,13010,1303,13,Maués
130290010,1302900,13010,1303,13,Osório da Fonseca
130290015,1302900,13010,1303,13,Repartimento
130300705,1303007,13010,1303,13,Nhamundá
130310605,1303106,13009,1303,13,Nova Olinda do Norte
130320505,1303205,13001,1301,13,Novo Airão
130330405,1303304,13013,1304,13,Novo Aripuanã
130340305,1303403,13010,1303,13,Parintins
130340310,1303403,13010,1303,13,Mocambo
130350205,1303502,13011,1304,13,Pauini
130353605,1303536,13008,1303,13,Presidente Figueiredo
130353610,1303536,13008,1303,13,Balbina
130356905,1303569,13008,1303,13,Rio Preto da Eva
130360105,1303601,13001,1301,13,Santa Isabel do Rio Negro
130370005,1303700,13003,1302,13,Santo Antônio do Içá
130380905,1303809,13001,1301,13,São Gabriel da Cachoeira
130380912,1303809,13001,1301,13,Cucui
130380915,1303809,13001,1301,13,Içana
130380920,1303809,13001,1301,13,São Felipe
130390805,1303908,13003,1302,13,São Paulo de Olivença
130390815,1303908,13003,1302,13,Santa Rita
130395705,1303957,13010,1303,13,São Sebastião do Uatumã
130400505,1304005,13009,1303,13,Silves
130406205,1304062,13003,1302,13,Tabatinga
130410405,1304104,13012,1304,13,Tapauá
130420305,1304203,13005,1303,13,Tefé
130423705,1304237,13003,1302,13,Tonantins
130426005,1304260,13005,1303,13,Uarini
130430205,1304302,13010,1303,13,Urucará
130440105,1304401,13009,1303,13,Urucurituba
130440110,1304401,13009,1303,13,Augusto Montenegro
140002705,1400027,14001,1401,14,Amajari
140005005,1400050,14001,1401,14,Alto Alegre
140010005,1400100,14001,1401,14,Boa Vista
140015905,1400159,14002,1401,14,Bonfim
140017505,1400175,14002,1401,14,Cantá
140020905,1400209,14003,1402,14,Caracaraí
140023305,1400233,14004,1402,14,Caroebe
